	Class ID	Preferred Label	Synonyms	alternative term	has_exact_synonym	synlist
132	http://purl.obolibrary.org/obo/CHMO_0002636	superconducting quantum interference device	superconducting quantum interference magnetometer|SQUID device|superconducting quantum interference device magnetometer|superconducting quantum interference device (SQUID) magnetometer|SQUID magnetometer	N/A	superconducting quantum interference magnetometer|SQUID device|superconducting quantum interference device magnetometer|superconducting quantum interference device (SQUID) magnetometer|SQUID magnetometer	SQUID device
132	http://purl.obolibrary.org/obo/CHMO_0002636	superconducting quantum interference device	superconducting quantum interference magnetometer|SQUID device|superconducting quantum interference device magnetometer|superconducting quantum interference device (SQUID) magnetometer|SQUID magnetometer	N/A	superconducting quantum interference magnetometer|SQUID device|superconducting quantum interference device magnetometer|superconducting quantum interference device (SQUID) magnetometer|SQUID magnetometer	superconducting quantum interference device magnetometer
132	http://purl.obolibrary.org/obo/CHMO_0002636	superconducting quantum interference device	superconducting quantum interference magnetometer|SQUID device|superconducting quantum interference device magnetometer|superconducting quantum interference device (SQUID) magnetometer|SQUID magnetometer	N/A	superconducting quantum interference magnetometer|SQUID device|superconducting quantum interference device magnetometer|superconducting quantum interference device (SQUID) magnetometer|SQUID magnetometer	superconducting quantum interference device (SQUID) magnetometer
132	http://purl.obolibrary.org/obo/CHMO_0002636	superconducting quantum interference device	superconducting quantum interference magnetometer|SQUID device|superconducting quantum interference device magnetometer|superconducting quantum interference device (SQUID) magnetometer|SQUID magnetometer	N/A	superconducting quantum interference magnetometer|SQUID device|superconducting quantum interference device magnetometer|superconducting quantum interference device (SQUID) magnetometer|SQUID magnetometer	SQUID magnetometer
133	http://purl.obolibrary.org/obo/CHEBI_50796	nanotube		N/A		N/A
134	http://purl.obolibrary.org/obo/OBI_0000185	imaging assay	imaging assay	N/A	imaging assay	imaging assay
135	http://purl.obolibrary.org/obo/CHMO_0010003	protective clothing		N/A		N/A
136	http://purl.obolibrary.org/obo/CHMO_0001528	dissection	anatomization	N/A	anatomization	anatomization
137	http://purl.obolibrary.org/obo/CHMO_0001522	dialysis		N/A		N/A
138	http://purl.obolibrary.org/obo/CHMO_0002232	spectrophotometer		N/A		N/A
139	http://purl.obolibrary.org/obo/CHMO_0002236	dark-field microscope	dark-field optical microscope|dark field optical microscope|dark field microscope	N/A	dark-field optical microscope|dark field optical microscope|dark field microscope	dark-field optical microscope
139	http://purl.obolibrary.org/obo/CHMO_0002236	dark-field microscope	dark-field optical microscope|dark field optical microscope|dark field microscope	N/A	dark-field optical microscope|dark field optical microscope|dark field microscope	dark field optical microscope
139	http://purl.obolibrary.org/obo/CHMO_0002236	dark-field microscope	dark-field optical microscope|dark field optical microscope|dark field microscope	N/A	dark-field optical microscope|dark field optical microscope|dark field microscope	dark field microscope
140	http://purl.obolibrary.org/obo/CHMO_0002231	purification		N/A		N/A
141	http://purl.obolibrary.org/obo/CHMO_0002831	material acquisition		N/A		N/A
142	http://purl.obolibrary.org/obo/IAO_0000030	information content entity		N/A		N/A
143	http://purl.obolibrary.org/obo/CHMO_0001077	quartz crystal microbalance	QCM	N/A	QCM	QCM
144	http://purl.obolibrary.org/obo/BFO_0000034	function		N/A		N/A
145	http://purl.obolibrary.org/obo/CHMO_0000080	transmission electron microscopy	TEM	N/A	TEM	TEM
146	http://purl.obolibrary.org/obo/CHMO_0000087	fluorescence microscopy	fluorescence imaging|fluorescence microscopic imaging|FM	N/A	fluorescence imaging|fluorescence microscopic imaging|FM	fluorescence imaging
146	http://purl.obolibrary.org/obo/CHMO_0000087	fluorescence microscopy	fluorescence imaging|fluorescence microscopic imaging|FM	N/A	fluorescence imaging|fluorescence microscopic imaging|FM	fluorescence microscopic imaging
146	http://purl.obolibrary.org/obo/CHMO_0000087	fluorescence microscopy	fluorescence imaging|fluorescence microscopic imaging|FM	N/A	fluorescence imaging|fluorescence microscopic imaging|FM	FM
147	http://purl.obolibrary.org/obo/OBI_0001042	pump function		N/A		N/A
148	http://purl.obolibrary.org/obo/CHMO_0002787	syringe pump		N/A		N/A
149	http://purl.obolibrary.org/obo/OBI_0600014	material component separation		N/A		N/A
150	http://purl.obolibrary.org/obo/OBI_0000094	material processing	sample preparative method|sample preparation step|preparative method|material transformations|sample preparation	N/A	sample preparative method|sample preparation step|preparative method|material transformations|sample preparation	sample preparative method
150	http://purl.obolibrary.org/obo/OBI_0000094	material processing	sample preparative method|sample preparation step|preparative method|material transformations|sample preparation	N/A	sample preparative method|sample preparation step|preparative method|material transformations|sample preparation	sample preparation step
150	http://purl.obolibrary.org/obo/OBI_0000094	material processing	sample preparative method|sample preparation step|preparative method|material transformations|sample preparation	N/A	sample preparative method|sample preparation step|preparative method|material transformations|sample preparation	preparative method
150	http://purl.obolibrary.org/obo/OBI_0000094	material processing	sample preparative method|sample preparation step|preparative method|material transformations|sample preparation	N/A	sample preparative method|sample preparation step|preparative method|material transformations|sample preparation	material transformations
150	http://purl.obolibrary.org/obo/OBI_0000094	material processing	sample preparative method|sample preparation step|preparative method|material transformations|sample preparation	N/A	sample preparative method|sample preparation step|preparative method|material transformations|sample preparation	sample preparation
151	http://purl.obolibrary.org/obo/CHMO_0002109	pulse oximetry		N/A		N/A
152	http://purl.obolibrary.org/obo/CHMO_0001694	chromatin immunoprecipitation	ChIP	N/A	ChIP	ChIP
153	http://purl.obolibrary.org/obo/CHMO_0001691	immunoprecipitation	IP	N/A	IP	IP
154	http://purl.obolibrary.org/obo/CHMO_0001577	extraction		N/A		N/A
155	http://purl.obolibrary.org/obo/CHMO_0000800	spectrum	spectrum plot|spectra	N/A	spectrum plot|spectra	spectrum plot
155	http://purl.obolibrary.org/obo/CHMO_0000800	spectrum	spectrum plot|spectra	N/A	spectrum plot|spectra	spectra
156	http://purl.obolibrary.org/obo/BFO_0000019	quality		N/A		N/A
157	http://purl.obolibrary.org/obo/OBI_0000073	sample preparation for assay		N/A		N/A
158	http://purl.obolibrary.org/obo/CHEBI_50803	nanoparticle		N/A		N/A
159	http://purl.obolibrary.org/obo/CHMO_0000073	scanning electron microscopy	scanning electronic microscopy|SEM	N/A	scanning electronic microscopy|SEM	scanning electronic microscopy
159	http://purl.obolibrary.org/obo/CHMO_0000073	scanning electron microscopy	scanning electronic microscopy|SEM	N/A	scanning electronic microscopy|SEM	SEM
160	http://purl.obolibrary.org/obo/CHMO_0000950	diffractometer		N/A		N/A
161	http://purl.obolibrary.org/obo/CHMO_0000954	atomic force microscope	AFM	N/A		AFM
162	http://purl.obolibrary.org/obo/CHMO_0000953	microscope		N/A		N/A
163	http://purl.obolibrary.org/obo/CHMO_0000120	scanning near-field optical microscopy	aperture-SNOM|aperture SNOM|aperture-NSOM|near-field scanning optical microscopy|aperture scanning near-field optical microscopy|aperture NSOM|NSOM|SNOM	N/A	aperture-SNOM|aperture SNOM|aperture-NSOM|near-field scanning optical microscopy|aperture scanning near-field optical microscopy|aperture NSOM|NSOM|SNOM	aperture-SNOM
163	http://purl.obolibrary.org/obo/CHMO_0000120	scanning near-field optical microscopy	aperture-SNOM|aperture SNOM|aperture-NSOM|near-field scanning optical microscopy|aperture scanning near-field optical microscopy|aperture NSOM|NSOM|SNOM	N/A	aperture-SNOM|aperture SNOM|aperture-NSOM|near-field scanning optical microscopy|aperture scanning near-field optical microscopy|aperture NSOM|NSOM|SNOM	aperture SNOM
163	http://purl.obolibrary.org/obo/CHMO_0000120	scanning near-field optical microscopy	aperture-SNOM|aperture SNOM|aperture-NSOM|near-field scanning optical microscopy|aperture scanning near-field optical microscopy|aperture NSOM|NSOM|SNOM	N/A	aperture-SNOM|aperture SNOM|aperture-NSOM|near-field scanning optical microscopy|aperture scanning near-field optical microscopy|aperture NSOM|NSOM|SNOM	aperture-NSOM
163	http://purl.obolibrary.org/obo/CHMO_0000120	scanning near-field optical microscopy	aperture-SNOM|aperture SNOM|aperture-NSOM|near-field scanning optical microscopy|aperture scanning near-field optical microscopy|aperture NSOM|NSOM|SNOM	N/A	aperture-SNOM|aperture SNOM|aperture-NSOM|near-field scanning optical microscopy|aperture scanning near-field optical microscopy|aperture NSOM|NSOM|SNOM	near-field scanning optical microscopy
163	http://purl.obolibrary.org/obo/CHMO_0000120	scanning near-field optical microscopy	aperture-SNOM|aperture SNOM|aperture-NSOM|near-field scanning optical microscopy|aperture scanning near-field optical microscopy|aperture NSOM|NSOM|SNOM	N/A	aperture-SNOM|aperture SNOM|aperture-NSOM|near-field scanning optical microscopy|aperture scanning near-field optical microscopy|aperture NSOM|NSOM|SNOM	aperture scanning near-field optical microscopy
163	http://purl.obolibrary.org/obo/CHMO_0000120	scanning near-field optical microscopy	aperture-SNOM|aperture SNOM|aperture-NSOM|near-field scanning optical microscopy|aperture scanning near-field optical microscopy|aperture NSOM|NSOM|SNOM	N/A	aperture-SNOM|aperture SNOM|aperture-NSOM|near-field scanning optical microscopy|aperture scanning near-field optical microscopy|aperture NSOM|NSOM|SNOM	aperture NSOM
163	http://purl.obolibrary.org/obo/CHMO_0000120	scanning near-field optical microscopy	aperture-SNOM|aperture SNOM|aperture-NSOM|near-field scanning optical microscopy|aperture scanning near-field optical microscopy|aperture NSOM|NSOM|SNOM	N/A	aperture-SNOM|aperture SNOM|aperture-NSOM|near-field scanning optical microscopy|aperture scanning near-field optical microscopy|aperture NSOM|NSOM|SNOM	NSOM
163	http://purl.obolibrary.org/obo/CHMO_0000120	scanning near-field optical microscopy	aperture-SNOM|aperture SNOM|aperture-NSOM|near-field scanning optical microscopy|aperture scanning near-field optical microscopy|aperture NSOM|NSOM|SNOM	N/A	aperture-SNOM|aperture SNOM|aperture-NSOM|near-field scanning optical microscopy|aperture scanning near-field optical microscopy|aperture NSOM|NSOM|SNOM	SNOM
164	http://purl.obolibrary.org/obo/CHMO_0000239	graphite furnace atomic absorption spectrometry	graphite-furnace atomic-absorption spectroscopy|graphite furnace atomic absorption spectroscopy|GF-AAS|GFAAS	N/A	graphite-furnace atomic-absorption spectroscopy|graphite furnace atomic absorption spectroscopy|GF-AAS|GFAAS	graphite-furnace atomic-absorption spectroscopy
164	http://purl.obolibrary.org/obo/CHMO_0000239	graphite furnace atomic absorption spectrometry	graphite-furnace atomic-absorption spectroscopy|graphite furnace atomic absorption spectroscopy|GF-AAS|GFAAS	N/A	graphite-furnace atomic-absorption spectroscopy|graphite furnace atomic absorption spectroscopy|GF-AAS|GFAAS	graphite furnace atomic absorption spectroscopy
164	http://purl.obolibrary.org/obo/CHMO_0000239	graphite furnace atomic absorption spectrometry	graphite-furnace atomic-absorption spectroscopy|graphite furnace atomic absorption spectroscopy|GF-AAS|GFAAS	N/A	graphite-furnace atomic-absorption spectroscopy|graphite furnace atomic absorption spectroscopy|GF-AAS|GFAAS	GF-AAS
164	http://purl.obolibrary.org/obo/CHMO_0000239	graphite furnace atomic absorption spectrometry	graphite-furnace atomic-absorption spectroscopy|graphite furnace atomic absorption spectroscopy|GF-AAS|GFAAS	N/A	graphite-furnace atomic-absorption spectroscopy|graphite furnace atomic absorption spectroscopy|GF-AAS|GFAAS	GFAAS
165	http://purl.obolibrary.org/obo/OBI_0000838	material maintenance		N/A		N/A
166	http://purl.obolibrary.org/obo/OBI_0000968	device		N/A		N/A
167	http://purl.obolibrary.org/obo/CHMO_0002177	dark-field microscopy	dark-field optical microscopy|darkfield microscopy|darkfield optical microscopy	N/A	dark-field optical microscopy|darkfield microscopy|darkfield optical microscopy	dark-field optical microscopy
167	http://purl.obolibrary.org/obo/CHMO_0002177	dark-field microscopy	dark-field optical microscopy|darkfield microscopy|darkfield optical microscopy	N/A	dark-field optical microscopy|darkfield microscopy|darkfield optical microscopy	darkfield microscopy
167	http://purl.obolibrary.org/obo/CHMO_0002177	dark-field microscopy	dark-field optical microscopy|darkfield microscopy|darkfield optical microscopy	N/A	dark-field optical microscopy|darkfield microscopy|darkfield optical microscopy	darkfield optical microscopy
168	http://purl.obolibrary.org/obo/CHMO_0002815	solubility		N/A		N/A
169	http://purl.obolibrary.org/obo/OBI_0000796	purification objective		N/A		N/A
170	http://purl.obolibrary.org/obo/CHMO_0000001	colorimetry	colourimetry|colorimetric method	N/A	colourimetry|colorimetric method	colourimetry
